Date,Open,High,Low,Close,Volume,OpenInt
12/1/1981,4.0295,4.1131,4.0295,4.1131,721101,0
12/2/1981,4.1131,4.1551,4.0721,4.0721,665541,0
12/3/1981,4.0721,4.1131,4.0506,4.0924,734894,0
12/4/1981,4.0924,4.1346,4.0721,4.0721,548680,0
12/7/1981,4.0721,4.0721,4.0295,4.0295,159776,0
12/8/1981,4.0295,4.0721,4.009,4.0295,320317,0
12/9/1981,4.0295,4.0721,3.9464,4.0506,331430,0
12/10/1981,4.0506,4.0924,3.967,3.9881,196560,0
12/11/1981,3.9881,4.009,3.9464,3.9464,443692,0
12/14/1981,3.9464,3.9464,3.8,3.8209,243302,0
12/15/1981,3.8209,3.8628,3.7792,3.8209,275871,0
12/16/1981,3.8209,3.8628,3.7792,3.8,228744,0
12/17/1981,3.8,3.8628,3.8,3.8209,215333,0
12/18/1981,3.8209,3.8209,3.7584,3.8,1192383,0
12/21/1981,3.8,3.8209,3.7584,3.7584,275490,0
12/22/1981,3.7584,3.8209,3.7374,3.7584,734894,0
12/23/1981,3.7792,3.8839,3.7792,3.8419,523390,0
12/24/1981,3.8628,3.8839,3.8628,3.8628,185064,0
12/28/1981,3.8628,3.9041,3.8628,3.9041,116481,0
12/29/1981,3.9041,3.9255,3.8628,3.8839,333730,0
12/30/1981,3.8839,3.9041,3.8419,3.8419,145217,0
12/31/1981,3.8628,3.9041,3.8628,3.8839,79696,0
1/4/1982,3.9255,3.967,3.8839,3.9464,101920,0
1/5/1982,3.9255,3.967,3.8839,3.9041,355186,0
1/6/1982,3.8839,3.9255,3.8628,3.8628,532970,0
1/7/1982,3.8419,3.8628,3.7792,3.8628,141385,0
1/8/1982,3.8419,3.8628,3.8,3.8628,353270,0
1/11/1982,3.8419,3.8628,3.8,3.8209,136023,0
1/12/1982,3.7584,3.8,3.6963,3.7374,668225,0
1/13/1982,3.6745,3.7374,3.6122,3.6331,701559,0
1/14/1982,3.6538,3.6745,3.6331,3.6745,223763,0
1/15/1982,3.6963,3.7163,3.6538,3.6963,345225,0
1/18/1982,3.6963,3.7374,3.6538,3.6963,362083,0
1/19/1982,3.7374,3.7584,3.6963,3.7163,526841,0
1/20/1982,3.6963,3.7163,3.6745,3.6745,611135,0
1/21/1982,3.6745,3.6963,3.6538,3.6963,185447,0
1/22/1982,3.6538,3.6745,3.6331,3.6538,358634,0
1/25/1982,3.5494,3.5704,3.5078,3.5285,259780,0
1/26/1982,3.4449,3.4871,3.4242,3.4449,6950071,0
1/27/1982,3.4449,3.4655,3.4449,3.4655,373193,0
1/28/1982,3.5078,3.5285,3.4655,3.5078,904632,0
1/29/1982,3.4871,3.5078,3.4449,3.4871,556342,0
2/1/1982,3.4871,3.5285,3.4449,3.4655,384306,0
2/2/1982,3.4449,3.4655,3.4242,3.4449,204222,0
2/3/1982,3.4242,3.4449,3.3824,3.4028,425303,0
2/4/1982,3.4028,3.4028,3.3824,3.4028,484692,0
2/5/1982,3.4449,3.4655,3.4028,3.4449,175103,0
2/8/1982,3.4242,3.4449,3.3824,3.4242,312655,0
2/9/1982,3.4655,3.5078,3.4028,3.4871,219165,0
2/10/1982,3.5704,3.5916,3.5078,3.5704,676654,0
2/11/1982,3.5916,3.5916,3.5494,3.5704,270508,0
2/12/1982,3.6122,3.6331,3.5916,3.6331,300776,0
2/16/1982,3.5916,3.6331,3.5494,3.5704,378942,0
2/17/1982,3.5494,3.5916,3.5078,3.5704,610368,0
2/18/1982,3.5285,3.5494,3.4871,3.5285,543699,0
2/19/1982,3.5285,3.5704,3.4871,3.5078,695429,0
2/22/1982,3.5285,3.5916,3.4449,3.4449,620713,0
2/23/1982,3.4449,3.4655,3.4028,3.4655,400781,0
2/24/1982,3.5285,3.5916,3.4242,3.5916,221080,0
2/25/1982,3.6538,3.7163,3.5916,3.6538,207668,0
2/26/1982,3.6538,3.6745,3.6122,3.6331,787002,0
3/1/1982,3.6745,3.7163,3.6122,3.6963,270890,0
3/2/1982,3.8,3.8628,3.7374,3.8,272041,0
3/3/1982,3.8,3.8419,3.7374,3.8,445611,0
3/4/1982,3.7792,3.8209,3.7163,3.7163,636038,0
3/5/1982,3.6963,3.7374,3.6331,3.7163,523008,0
3/8/1982,3.7374,3.7792,3.6745,3.6745,356718,0
3/9/1982,3.5916,3.6963,3.5078,3.6745,524540,0
3/10/1982,3.6963,3.7163,3.6538,3.6745,356335,0
3/11/1982,3.7163,3.7584,3.6538,3.7374,453273,0
3/12/1982,3.7163,3.7584,3.6745,3.7584,348672,0
3/15/1982,3.7163,3.7792,3.6331,3.6331,380859,0
3/16/1982,3.6745,3.7163,3.6331,3.6963,372044,0
3/17/1982,3.6963,3.7163,3.6538,3.6538,250201,0
3/18/1982,3.7374,3.8,3.6538,3.7584,1054063,0
3/19/1982,3.7374,3.7792,3.6963,3.7374,460555,0
3/22/1982,3.7584,3.8,3.6963,3.8,863633,0
3/23/1982,3.8,3.8209,3.7792,3.7792,231811,0
3/24/1982,3.7792,3.8,3.7374,3.7792,1079351,0
3/25/1982,3.7792,3.8,3.7374,3.8,275105,0
3/26/1982,3.8,3.8209,3.7584,3.7584,640254,0
3/29/1982,3.8419,3.8839,3.7584,3.8839,282770,0
3/30/1982,3.9041,3.9255,3.8628,3.8628,193112,0
3/31/1982,3.8628,3.8628,3.8209,3.8209,85061,0
4/1/1982,3.8419,3.8628,3.8,3.8419,160541,0
4/2/1982,3.9041,3.9255,3.8628,3.8839,521094,0
4/5/1982,3.9041,3.9464,3.8628,3.9464,626076,0
4/6/1982,3.9255,3.9464,3.8839,3.9255,269358,0
4/7/1982,3.967,4.0295,3.8839,4.009,306525,0
4/8/1982,3.967,4.009,3.9041,3.967,810758,0
4/12/1982,3.9255,3.967,3.8628,3.8628,139469,0
4/13/1982,3.8419,3.8628,3.8209,3.8628,134105,0
4/14/1982,3.8,3.8628,3.6963,3.7584,536801,0
4/15/1982,3.7374,3.7792,3.6745,3.7792,263994,0
4/16/1982,3.8209,3.8839,3.7163,3.8839,383155,0
4/19/1982,3.9041,3.9255,3.8628,3.9041,672440,0
4/20/1982,3.9041,3.9255,3.8628,3.8839,144066,0
4/21/1982,3.8209,3.8628,3.7374,3.8628,87742,0
4/22/1982,3.8419,3.8628,3.8209,3.8628,1068241,0
4/23/1982,3.8628,3.8628,3.8419,3.8628,628761,0
4/26/1982,3.8839,3.9041,3.8628,3.9041,582397,0
4/27/1982,3.9255,3.9255,3.9041,3.9041,218016,0
